=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.06.10 11:17:53 =~=~=~=~=~=~=~=~=~=~=~=
# Ready. Send 's' to start, 'x' to stop.
# Recording started.
timestamp_sec,source,value1,vlue2
6.799440,tfmini,153,65024
6.823872,tfmini,311,1879
6.829176,tfmini,312,1883
6.831568,tfmini,313,1870
6.841960,laser,974,
6.844776,tfmini,274,6131
6.847160,tfmini,5,7471
6.851272,tfmini,0,1752
6.862824,tfmini,50,366
6.876196,tfmini,312,1871
6.889336,tfmini,312,1892
6.892564,laser,676,
6.898776,tfmini,37,33846
6.906648,tfmini,0,39203
6.908512,tfmini,0,10
6.917416,tfmini,269,1878
6.918840,tfmini,287,1878
6.921144,tfmini,303,1869
6.930112,tfmini,312,1882
6.939908,tfmini,311,1895
6.942248,laser,796,
6.945424,tfmini,308,3629
6.948808,tfmini,34,8301
6.953960,tfmini,0,456
6.963640,tfmini,137,371
6.970872,tfmini,307,1891
6.975936,tfmini,313,1880
6.978328,tfmini,312,1881
6.982336,tfmini,312,1864
6.986472,tfmini,313,39263
6.990852,laser,861,
6.998424,tfmini,0,22905
7.003208,tfmini,0,316
7.007304,tfmini,0,2328
7.023504,tfmini,311,1878
7.024920,tfmini,311,1861
7.037872,laser,847,
7.042616,tfmini,53,6455
7.044848,tfmini,0,7481
7.054328,tfmini,0,200
7.065224,tfmini,303,1878
7.070648,tfmini,312,1879
7.072112,tfmini,312,1879
7.074504,tfmini,312,22791
7.084584,laser,751,
7.085824,tfmini,310,1885
7.094176,tfmini,0,2497
7.096120,tfmini,0,382
7.100436,tfmini,0,3
7.106840,tfmini,59,258
7.117608,tfmini,311,1869
7.130528,laser,691,
7.134688,tfmini,307,7683
7.137192,tfmini,34,8464
7.151384,tfmini,48,376
7.175424,laser,926,
7.182136,tfmini,0,8290
7.195008,tfmini,58,371
7.197304,tfmini,47,1883
7.200624,tfmini,288,1886
7.206480,tfmini,311,1886
7.207912,tfmini,312,1897
7.214808,tfmini,312,1897
7.219604,laser,840,
7.224736,tfmini,298,6896
7.226160,tfmini,44,7683
7.236808,tfmini,9,323
7.239056,tfmini,39,383
7.242464,tfmini,142,259
7.254424,tfmini,313,1877
7.261824,tfmini,312,1877
7.263216,laser,893,
7.269808,tfmini,43,7735
7.271672,tfmini,0,8256
7.278232,tfmini,0,55
7.296440,tfmini,312,1883
7.299928,tfmini,313,1880
7.304312,tfmini,313,1887
7.305940,laser,671,
7.309128,tfmini,310,1852
