config_id,flight_ok,can_liftoff,rpm_launch,mass_kg,inertia_kg_m2,blade_planform_m2,T_static_N,Q_static_Nm,Pshaft_static_W,T_over_W,h_max_m,flight_time_s,hover_time_s,v_max_m_s,v_impact_m_s,rpm_at_impact
2356,True,False,4000.0,0.02385225,6.57722e-05,0.005653,0.2044,0.01461,6.11982,0.87354,0.0,0.0,0.0,0.0,0.0,4000.0
2357,True,False,4000.0,0.01400788,2.59252e-05,0.00442,0.06562,0.008629,3.61451,0.47752,0.0,0.0,0.0,0.0,0.0,4000.0
2358,False,False,4000.0,0.00780766,1.53478e-05,0.0030904,,,,,,,,,,
2359,True,True,4000.0,0.00979967,2.48522e-05,0.0036412499999999995,0.1037,0.001429,0.59858,1.07869,0.02108739,0.52573749,0.18330525,0.06875121,-0.64141992,3728.28567417
2360,True,True,4000.0,0.00749656,2.57072e-05,0.0038208000000000005,0.3132,0.00528,2.21168,4.25883,1.8152578,1.85586334,0.31232455,2.87319896,-4.44150209,1383.86970686
2361,True,True,4000.0,0.01375426,4.38284e-05,0.004654500000000001,0.3039,0.008165,3.42015,2.25229,0.87611373,1.48670226,0.24766692,1.37011723,-3.74217948,2046.3805028
2362,True,False,4000.0,0.01460439,3.11756e-05,0.004673999999999999,0.08801,0.001123,0.4704,0.6143,0.0,0.0,0.0,0.0,0.0,4000.0
2363,True,True,4000.0,0.00518187,1.71254e-05,0.00201,0.05742,0.0008966,0.37557,1.12956,0.06422865,0.81946276,0.22130338,0.13895439,-1.11261896,3618.5489643
2364,True,True,4000.0,0.01390747,2.86874e-05,0.00444325,0.2487,0.002722,1.14019,1.82288,1.74831714,2.67872236,0.54691616,1.39452454,-4.85857288,2507.16956456
2365,True,True,4000.0,0.01213374,2.90703e-05,0.004045,0.1317,0.001619,0.67817,1.10643,0.04874257,0.72136229,0.18777862,0.11882239,-0.97224948,3647.70585651
2366,True,True,4000.0,0.02185524,5.88662e-05,0.006255999999999999,0.2983,0.003178,1.3312,1.39133,0.82735233,2.18342287,0.55846211,0.74704979,-3.71007792,3107.30878779
2367,True,True,4000.0,0.02105592,6.79403e-05,0.0057716,0.3075,0.003225,1.35088,1.48868,1.59357106,3.03291609,0.67017193,1.05998309,-4.82055497,2979.9687498
2368,True,True,4000.0,0.01341443,4.23105e-05,0.004182,0.2991,0.003617,1.51509,2.27287,3.18649561,3.89227813,0.71630241,1.86504821,-5.77380373,2251.34665951
2369,True,True,4000.0,0.0096741,2.51576e-05,0.0037940000000000005,0.239,0.003488,1.46105,2.51836,1.52459781,2.02103276,0.39909626,1.85499137,-4.48217291,2004.23141477
2370,True,True,4000.0,0.01396896,4.989e-05,0.0041604,0.3641,0.003903,1.63488,2.65698,4.34756246,4.47870521,0.79417364,2.3789008,-6.22719222,2080.35958652
2371,False,False,4000.0,0.01669723,3.11125e-05,0.0063216,,,,,,,,,,
2372,False,False,4000.0,0.00734152,1.57336e-05,0.003076,,,,,,,,,,
2373,True,True,4000.0,0.00698506,2.49954e-05,0.0021915,0.1609,0.00167,0.69953,2.3481,4.69330288,4.79862562,1.11589106,2.27131244,-6.19228936,2190.58898914
2374,True,False,4000.0,0.00759354,2.73809e-05,0.003457,0.03976,0.001993,0.83483,0.53374,0.0,0.0,0.0,0.0,0.0,4000.0
2375,False,False,4000.0,0.0070282,2.66098e-05,0.0022769999999999995,,,,,,,,,,
2376,True,False,4000.0,0.02176086,5.83619e-05,0.005660000000000001,0.153,0.005854,2.45212,0.71671,0.0,0.0,0.0,0.0,0.0,4000.0
2377,True,False,4000.0,0.0124363,3.87091e-05,0.0041296,0.08333,0.001922,0.80509,0.68303,0.0,0.0,0.0,0.0,0.0,4000.0
2378,True,True,4000.0,0.0114871,4.2353e-05,0.004629,0.2563,0.00991,4.15109,2.27441,0.57177629,1.19641302,0.22250978,1.11533968,-3.09098794,2066.25942362
2379,True,True,4000.0,0.00755041,2.7977e-05,0.0036810000000000002,0.3462,0.0052,2.17817,4.67399,5.92703192,4.73114312,1.60080608,3.4467702,-5.25666453,1252.6526922
2380,True,False,4000.0,0.00523186,1.24092e-05,0.001833,0.02677,0.0004864,0.20374,0.52158,0.0,0.0,0.0,0.0,0.0,4000.0
2381,True,True,4000.0,0.00838321,1.73532e-05,0.0029202,0.1153,0.001261,0.52821,1.40201,0.48169905,1.55058367,0.39292167,0.6195359,-2.89834963,3060.70795053
2382,True,False,4000.0,0.0119938,2.1655e-05,0.0031878,0.1067,0.001198,0.50182,0.90686,0.0,0.0,0.0,0.0,0.0,4000.0
2383,True,True,4000.0,0.00761576,2.92155e-05,0.0040266,0.12,0.006147,2.57485,1.6062,0.19333305,0.82028862,0.17990282,0.48542715,-1.87841265,2669.29233564
2384,True,True,4000.0,0.0062485,1.80297e-05,0.00286875,0.1811,0.002183,0.91441,2.95443,4.32299155,4.35843403,1.40238441,2.37968786,-5.29931874,1774.13929688
2385,True,False,4000.0,0.04295651,0.0001182404,0.008733600000000001,0.4134,0.01045,4.37729,0.98101,0.0,0.0,0.0,0.0,0.0,4000.0
2386,True,False,4000.0,0.01895616,3.39127e-05,0.0046704,0.137,0.005361,2.24561,0.73672,0.0,0.0,0.0,0.0,0.0,4000.0
2387,True,True,4000.0,0.00722249,1.60397e-05,0.0027844,0.114,0.001075,0.45029,1.60897,1.28582689,2.58532581,0.51399602,1.03389935,-4.24962952,2817.0693228
2388,False,False,4000.0,0.01093571,2.5387e-05,0.0041808,,,,,,,,,,
2389,True,False,4000.0,0.01152621,2.55496e-05,0.0038220000000000003,0.06464,0.00125,0.5236,0.57167,0.0,0.0,0.0,0.0,0.0,4000.0
2390,True,True,4000.0,0.01116866,3.81615e-05,0.0048795,0.1521,0.003609,1.51173,1.38822,0.30523639,1.23949914,0.34131248,0.4848419,-2.33478091,3060.44676883
